"semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
37,"60 - 69 años",63.3036992198457,"(35, 70]"
37,"70 - 79 años",60.3706073363325,"(35, 70]"
37,"80 años o más",70.5881492372457,"(70, 150]"
38,"00 - 09 años",19.8967230663277,"(7, 35]"
38,"10 - 19 años",29.8970709186241,"(7, 35]"
38,"20 - 29 años",67.6512970163579,"(35, 70]"
38,"30 - 39 años",66.8656692785072,"(35, 70]"
38,"40 - 49 años",58.0862471930709,"(35, 70]"
38,"50 - 59 años",62.0701033503087,"(35, 70]"
38,"60 - 69 años",52.6052631870696,"(35, 70]"
38,"70 - 79 años",55.6572874944593,"(35, 70]"
38,"80 años o más",56.8728352662782,"(35, 70]"
39,"00 - 09 años",25.4775112434684,"(7, 35]"
39,"10 - 19 años",43.1230599077903,"(35, 70]"
39,"20 - 29 años",87.6685784949074,"(70, 150]"
39,"30 - 39 años",85.8004961980253,"(70, 150]"
39,"40 - 49 años",78.4794464048394,"(70, 150]"
39,"50 - 59 años",82.1975263945625,"(70, 150]"
39,"60 - 69 años",67.9600133481005,"(35, 70]"
39,"70 - 79 años",63.1785425612782,"(35, 70]"
39,"80 años o más",77.5372416492025,"(70, 150]"
40,"00 - 09 años",23.495927035643,"(7, 35]"
40,"10 - 19 años",41.7371029777879,"(35, 70]"
40,"20 - 29 años",73.9895638496304,"(70, 150]"
40,"30 - 39 años",73.7600574774258,"(70, 150]"
40,"40 - 49 años",71.3380077295571,"(70, 150]"
40,"50 - 59 años",69.6231614738337,"(35, 70]"
40,"60 - 69 años",60.8646775336169,"(35, 70]"
40,"70 - 79 años",54.5541700846592,"(35, 70]"
40,"80 años o más",60.5302523252029,"(35, 70]"
41,"00 - 09 años",21.6356643099295,"(7, 35]"
41,"10 - 19 años",35.9556826412062,"(35, 70]"
41,"20 - 29 años",73.8278733691898,"(70, 150]"
41,"30 - 39 años",70.758194673112,"(70, 150]"
41,"40 - 49 años",62.9363151704016,"(35, 70]"
41,"50 - 59 años",68.6104609433052,"(35, 70]"
41,"60 - 69 años",56.4300926495647,"(35, 70]"
41,"70 - 79 años",57.1615385078231,"(35, 70]"
41,"80 años o más",58.3358020898481,"(35, 70]"
42,"00 - 09 años",20.8268544291844,"(7, 35]"
42,"10 - 19 años",31.0058364626261,"(7, 35]"
42,"20 - 29 años",65.8080255393348,"(35, 70]"
42,"30 - 39 años",68.5480319490567,"(35, 70]"
42,"40 - 49 años",61.5996822632632,"(35, 70]"
42,"50 - 59 años",63.6313500015401,"(35, 70]"
42,"60 - 69 años",53.4921801638801,"(35, 70]"
42,"70 - 79 años",55.6572874944593,"(35, 70]"
42,"80 años o más",61.0788648840416,"(35, 70]"
43,"00 - 09 años",19.8967230663277,"(7, 35]"
43,"10 - 19 años",33.1045712423441,"(7, 35]"
43,"20 - 29 años",67.5542827280935,"(35, 70]"
43,"30 - 39 años",67.5254193453894,"(35, 70]"
43,"40 - 49 años",60.3394283793899,"(35, 70]"
43,"50 - 59 años",58.9054141924072,"(35, 70]"
43,"60 - 69 años",52.1618046986644,"(35, 70]"
43,"70 - 79 años",47.9354656258587,"(35, 70]"
43,"80 años o más",47.9121634719129,"(35, 70]"
44,"00 - 09 años",18.4813057750239,"(7, 35]"
44,"10 - 19 años",31.0058364626261,"(7, 35]"
44,"20 - 29 años",62.768244507051,"(35, 70]"
