"fecha";"region";"provincia";"carga.estimada";"carga.liminf";"carga.lisup"
"2021-09-28";8;83;4.16903857010244;2.59236251030449;6.38347123835799
"2021-09-29";8;83;3.83716892755321;2.12585536152532;5.90515378201479
"2021-09-30";8;83;3.70725554434889;1.65344305896414;5.6689476307342
"2021-10-01";8;83;3.59741968400341;1.88374405646272;5.43864663323562
"2021-10-02";8;83;3.3942823939021;1.88374405646272;5.44455178701764
"2021-10-03";8;83;3.46042011626067;1.64753790518213;5.6689476307342
"2021-10-04";8;83;5.11740626749402;2.82856866158509;8.03691429732213
"2021-10-05";8;83;5.11504420598121;3.06477481286568;7.55859684097893
"2021-10-06";8;83;5.66540453846499;3.30098096414627;8.26721529482071
"2021-10-07";8;83;6.25001476288446;3.77929842048947;8.9817389024445
"2021-10-08";8;83;5.96774841210415;3.54309226920887;8.9817389024445
"2021-10-09";8;83;5.17055265153215;2.59826766408651;8.03691429732213
"2021-10-10";8;83;4.26942618439669;2.59826766408651;6.61967738963858
"2021-10-11";8;83;6.28898877784575;4.01550457177006;9.21203989994307
"2021-10-12";8;83;5.74453359914399;3.30098096414627;8.5034214461013
"2021-10-13";8;83;4.54106325836937;2.59236251030449;6.61377223585657
"2021-10-14";8;83;4.05565961748776;2.11995020774331;6.14135993329538
"2021-10-15";8;83;3.79701388183551;1.88964921024473;5.67485278451622
"2021-10-16";8;83;3.70016935981047;1.65344305896414;5.67485278451622
"2021-10-17";8;83;3.80646212788673;2.12585536152532;6.14135993329538
"2021-10-18";8;83;5.41502601810756;3.30688611792828;7.80070814604154
"2021-10-19";8;83;5.57446517022196;3.30688611792828;8.5034214461013
"2021-10-20";8;83;5.31227634230051;2.59826766408651;8.03100914354012
"2021-10-21";8;83;4.789079717214;2.59826766408651;8.03691429732213
"2021-10-22";8;83;5.02528586849459;2.8344738153671;7.32239068969834
"2021-10-23";8;83;5.41975014113317;2.8344738153671;8.03100914354012
"2021-10-24";8;83;5.47525858668411;3.29507581036425;7.79480299225952
"2021-10-25";8;83;8.05344872791177;4.72412302561183;11.585911720313
"2021-10-26";8;83;8.09832789665509;5.190630174391;11.574101412749
"2021-10-27";8;83;8.1042330504371;5.190630174391;11.1016891101878
"2021-10-28";8;83;8.04754357412976;5.43274147945361;11.574101412749
"2021-10-29";8;83;8.17981901884689;4.96032917689242;11.3497055690324
"2021-10-30";8;83;7.57867436383778;5.19653532817302;10.6469922689727
"2021-10-31";8;83;7.22082204464769;4.25171072305065;10.6351819614086
"2021-11-01";8;83;11.1288528175851;7.55859684097893;14.8868926844593
"2021-11-02";8;83;12.0087207311053;9.20613474616106;16.0620182870802
"2021-11-03";8;83;13.4613885614809;9.92065835378485;17.957572651107
"2021-11-04";8;83;14.0247402322851;9.91475320000283;18.4358901074502
"2021-11-05";8;83;14.927047730177;10.6292768076266;19.3689044050085
"2021-11-06";8;83;11.8929797169778;8.49751629231928;16.0679234408622
"2021-11-07";8;83;10.8761122357148;7.08027938463574;15.1290039895219
"2021-11-08";8;83;16.0006046877473;12.0406085615282;21.5006649203159
"2021-11-09";8;83;15.6144076304035;11.3319901076864;20.5558403151935
"2021-11-10";8;83;12.9287436903432;8.96992859488047;17.2430490434832
"2021-11-11";8;83;15.0994782206118;10.8654829589072;18.9023972562293
"2021-11-12";8;83;15.8695102737865;12.0465137153102;20.0775228588503
"2021-11-13";8;83;15.2860810801235;11.8044024102476;20.5558403151935
"2021-11-14";8;83;14.1440243386818;10.393070656346;17.7213664998264
"2021-11-15";8;83;21.6896298413403;16.5226202820774;26.6912950947069
"2021-11-16";8;83;17.9292279129533;13.2216393179311;22.6757905229368
"2021-11-17";8;83;19.1574998996124;14.6388762256147;25.2858684945873
"2021-11-18";8;83;21.8419828089163;16.5344305896414;27.1755177048321
"2021-11-19";8;83;21.6541989186482;16.5285254358594;27.4058187023306
